ChildID,TeachID.Year1,Age.at.test,Annual.Gross.Income,gender,cond.dum,zero.app.users.year1,matchschool,twin,year1dropout,wjappliedfa13_filter,WJletterwordFa13_filter,WJ.applied.Sp14.filter,WJ.letterword.Sp14.filter,Returned.Parent.Survey.cohort1.Fa13,WJ.Applied.Problems.W.Score.Fa13,WJ.Applied.Problems.GE.Fa13,WJ.Letter.Word.ID.W.Score.Fa13,WJ.Letter.Word.ID.GE.Fa13,WJ.Applied.Problems_W.Score_Sp14,WJ.Applied.Problem_GE_Sp14,WJ.LetterWord.Wscore.Sp14,WJ.LetterWord_GE_Sp14,Relationship.to.Child.Parent.Survey.Fa13,Gender.of.Person.Filling.Out.Survey.Fa13,ParentMAaverage.Fa13,parent.total.math.class.Fa13,avg.use,use.012.groups,in.depth.year1,WScore.Parent.Math.Fluency.Year1,parentMA_mediansplit,parentMathClass_mediansplit
122,3.00,74.00,4.00,0,1.00,0,0,0,1,1.0,1.0,0.0,0.0,0.0,436.0,0.9,412.0,1.5,,,,,,,,,,,0.0,,,
123,3.00,79.00,,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,458.0,1.9,491.0,3.9,446.0,1.4,509.0,5.2,Mother,F,1.7,5.0,0.69,1.0,0.0,,1.00,1.00
124,3.00,81.00,2.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,0.0,453.0,1.7,404.0,1.3,450.0,1.6,460.0,2.7,,,,,0.42,0.0,0.0,,,
125,3.00,72.00,,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,436.0,0.9,446.0,2.3,476.0,2.8,471.0,3.0,Mother,F,1.0,2.0,0.50,0.0,0.0,,1.00,1.00
126,3.00,75.00,5.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,0.0,467.0,2.3,514.0,5.7,498.0,4.2,509.0,5.2,,,,,2.12,2.0,0.0,,,
127,3.00,76.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,462.0,2.1,457.0,2.6,502.0,4.5,464.0,2.8,Mother,F,1.2,4.0,0.42,0.0,0.0,,1.00,1.00
128,4.00,,3.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,0.0,440.0,1.1,408.0,1.4,481.0,3.0,453.0,2.5,,,,,0.38,0.0,0.0,,,
129,4.00,79.00,,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,431.0,1.9,476.0,2.8,435.0,2.0,Mother,F,1.1,4.0,1.12,1.0,0.0,,1.00,1.00
152,5.00,79.00,5.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,416.0,1.6,485.0,3.3,468.0,2.9,Mother,F,1.8,5.0,0.88,1.0,0.0,,1.00,1.00
153,5.00,82.00,4.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,471.0,2.5,460.0,2.7,506.0,4.8,484.0,3.5,Mother,F,1.8,4.0,0.27,0.0,0.0,,1.00,1.00
154,5.00,84.00,2.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,0.0,471.0,2.5,464.0,2.8,476.0,2.8,471.0,3.0,,,,,0.58,1.0,0.0,,,
155,6.00,80.00,5.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,449.0,1.5,374.0,0.6,476.0,2.8,449.0,2.4,Mother,F,2.6,6.0,1.93,2.0,0.0,,2.00,2.00
156,6.00,82.00,6.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,476.0,2.8,483.0,3.5,506.0,4.8,504.0,4.8,Mother,F,1.9,7.0,0.00,0.0,0.0,,1.00,2.00
157,6.00,,2.00,1,1.00,0,1,0,0,1.0,1.0,0.0,0.0,1.0,476.0,2.8,434.0,2.0,,,,,Mother,F,1.6,8.0,1.15,1.0,0.0,,1.00,2.00
158,8.00,80.00,5.00,1,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,462.0,2.1,460.0,2.7,476.0,2.8,471.0,3.0,Father,M,2.7,4.0,2.68,2.0,1.0,523.0,2.00,1.00
159,7.00,82.00,3.00,0,0.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,481.0,3.0,470.0,3.0,490.0,3.6,487.0,3.7,Mother,F,2.2,3.0,0.36,0.0,0.0,,2.00,1.00
160,7.00,72.00,6.00,0,0.00,0,1,0,1,1.0,1.0,1.0,1.0,1.0,427.0,0.5,427.0,1.8,431.0,0.7,457.0,2.6,Mother,F,2.0,4.0,1.52,2.0,0.0,,1.00,1.00
161,7.00,83.00,6.00,1,0.00,0,1,0,1,1.0,1.0,0.0,0.0,0.0,462.0,2.1,434.0,2.0,,,,,,,,,,,0.0,,,
162,7.00,82.00,6.00,0,0.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,442.0,2.2,463.0,2.1,471.0,3.0,Mother,F,1.8,6.0,0.19,0.0,0.0,,1.00,2.00
163,7.00,84.00,6.00,0,0.00,0,1,0,0,0.0,1.0,1.0,1.0,1.0,458.0,1.9,457.0,2.6,481.0,3.0,478.0,3.3,Mother,F,3.1,4.0,0.67,1.0,1.0,,2.00,1.00
164,7.00,78.00,6.00,0,0.00,0,1,1,0,1.0,1.0,1.0,1.0,1.0,485.0,3.3,449.0,2.3,512.0,5.6,487.0,3.7,Father,M,1.6,5.0,1.10,1.0,0.0,,1.00,1.00
165,7.00,80.00,2.00,0,0.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,449.0,1.5,431.0,1.9,476.0,2.8,453.0,2.5,Mother,F,2.1,3.0,3.43,2.0,0.0,,2.00,1.00
166,7.00,76.00,6.00,0,0.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,471.0,2.5,449.0,2.3,467.0,2.3,460.0,2.7,Mother,F,1.3,4.0,3.24,2.0,0.0,,1.00,1.00
167,7.00,83.00,3.00,1,0.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,481.0,3.0,460.0,2.7,490.0,3.6,468.0,2.9,Mother,F,2.2,4.0,1.90,2.0,0.0,,2.00,1.00
168,7.00,82.00,6.00,1,0.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,442.0,2.2,485.0,3.3,464.0,2.8,Mother,F,2.0,8.0,2.52,2.0,0.0,,1.00,2.00
169,7.00,72.00,6.00,1,0.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,462.0,2.1,442.0,2.2,458.0,1.9,475.0,3.1,Mother,F,3.5,4.0,1.43,1.0,0.0,,2.00,1.00
170,7.00,84.00,6.00,0,0.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,412.0,1.5,471.0,2.6,420.0,1.7,Father,M,2.3,9.0,1.86,2.0,0.0,,2.00,2.00
171,8.00,78.00,,1,0.00,0,1,1,0,0.0,1.0,1.0,1.0,1.0,476.0,2.8,446.0,2.3,471.0,2.6,460.0,2.7,Father,M,1.6,5.0,1.18,1.0,0.0,,1.00,1.00
172,8.00,74.00,5.00,1,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,420.0,1.6,471.0,2.6,449.0,2.4,Mother,F,2.6,3.0,1.00,1.0,1.0,514.0,2.00,1.00
173,8.00,83.00,6.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,462.0,2.1,449.0,2.3,481.0,3.0,468.0,2.9,Mother,F,2.4,6.0,2.43,2.0,1.0,523.0,2.00,2.00
174,8.00,79.00,1.00,1,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,444.0,1.3,460.0,2.7,454.0,1.7,490.0,3.8,Mother,F,3.4,6.0,2.62,2.0,0.0,,2.00,2.00
175,8.00,77.00,1.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,0.0,449.0,1.5,388.0,1.0,454.0,1.7,460.0,2.7,,,,,0.05,0.0,0.0,,,
176,8.00,78.00,4.00,1,1.00,0,1,0,1,1.0,1.0,0.0,0.0,1.0,462.0,2.1,453.0,2.4,,,,,Father,M,1.4,5.0,,,0.0,,1.00,1.00
177,8.00,75.00,6.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,436.0,0.9,449.0,2.3,431.0,0.7,475.0,3.1,Mother,F,2.8,2.0,0.62,1.0,0.0,,2.00,1.00
178,8.00,75.00,6.00,1,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,458.0,1.9,464.0,2.8,458.0,1.9,493.0,4.0,Mother,F,1.6,2.0,1.19,1.0,1.0,547.0,1.00,1.00
